timestamp,open,high,low,close
2026-01-01 00:00:00,1.1000,1.1015,1.0990,1.1010
2026-01-01 01:00:00,1.1010,1.1025,1.1005,1.1020
2026-01-01 02:00:00,1.1020,1.1030,1.1000,1.1005
2026-01-01 03:00:00,1.1005,1.1012,1.0985,1.0990
2026-01-01 04:00:00,1.0990,1.1000,1.0975,1.0995
2026-01-01 05:00:00,1.0995,1.1010,1.0988,1.1008
2026-01-01 06:00:00,1.1008,1.1022,1.1000,1.1018
2026-01-01 07:00:00,1.1018,1.1035,1.1010,1.1030
2026-01-01 08:00:00,1.1030,1.1040,1.1015,1.1022
2026-01-01 09:00:00,1.1022,1.1028,1.1005,1.1012
